datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
1990-01-01,0.0,100000.0,0.0,100000.0,,,
1990-01-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-01-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-02-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-03-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-04-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-05-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1990-06-01,15723680000.0,-10308380001.3,1.3,5415299998.700001,54151.99998700001,54152.99998700001,0.0
1990-06-04,17942400000.0,-10308380001.3,1.3,7634019998.700001,0.40971322004923594,76340.19998700001,0.0
1990-06-05,29943200000.0,-10308380001.3,1.3,19634819998.7,1.5720157927335294,196348.19998700003,0.0
1990-06-06,21174720000.0,-10308380001.3,1.3,10866339998.7,-0.44657806899072927,108663.39998700003,87684.8
1990-06-07,18643520000.0,-10308380001.3,1.3,8335139998.700001,-0.2329395178415935,83351.39998700003,112996.8
1990-06-08,33388320000.0,-10308380001.3,1.3,23079939998.7,1.7689924827057122,230799.39998700007,0.0
1990-06-11,15789760000.0,-10308380001.3,1.3,5481379998.700001,-0.7625045819439416,54813.799987000035,175985.60000000003
1990-06-12,16503200000.0,-10308380001.3,1.3,6194819998.700001,0.13015700428892063,61948.199987000036,168851.20000000004
1990-06-13,0.0,6194819997.400002,2.6,6194819997.400002,-2.098525797578077e-10,61948.19997400005,168851.20001300002
1990-06-14,0.0,6194819997.400002,2.6,6194819997.400002,0.0,61948.19997400005,168851.20001300002
1990-06-15,0.0,6194819997.400002,2.6,6194819997.400002,0.0,61948.19997400005,168851.20001300002
1990-06-18,0.0,6194819997.400002,2.6,6194819997.400002,0.0,61948.19997400005,168851.20001300002
1990-06-19,0.0,6194819997.400002,2.6,6194819997.400002,0.0,61948.19997400005,168851.20001300002
1990-06-20,15473920000.0,-9527740003.899998,3.9000000000000004,5946179996.100002,-0.04013675964827945,59461.799961000055,171337.600026
1990-06-21,0.0,5946179994.800003,5.2,5946179994.800003,-2.1862767152214246e-10,59461.79994800006,171337.600039
1990-06-22,28397600000.0,-14913820006.499996,6.5,13483779993.500004,1.2676373748005796,134837.7999350001,95961.60005199997
1990-06-25,12200160000.0,-14913820006.499996,6.5,-2713660006.499996,-1.2012536549697594,-27136.600064999962,257936.00005200005
1990-06-26,12725440000.0,-14913820006.499996,6.5,-2188380006.499996,-0.19356883277264036,-21883.800064999963,252683.20005200003
1990-06-27,9722720000.0,-14913820006.499996,6.5,-5191100006.499996,1.3721200116438759,-51911.000064999964,282710.400052
1990-06-28,24993920000.0,-14913820006.499996,6.5,10080099993.500004,-2.94180423819196,100800.99993500003,129998.40005200004
1990-06-29,32519200000.0,-14913820006.499996,6.5,17605379993.500004,0.7465481498053155,176053.79993500002,54745.60005200005
1990-07-02,13540800000.0,-14913820006.499996,6.5,-1373020006.4999962,-1.0779886606825255,-13730.20006499995,244529.60005200002
1990-07-03,9950080000.0,-14913820006.499996,6.5,-4963740006.499996,2.615198600895267,-49637.40006499992,280436.800052
1990-07-05,10746400000.0,-14913820006.499996,6.5,-4167420006.499996,-0.16042741943720307,-41674.20006499993,272473.600052
1990-07-06,20905920000.0,-14913820006.499996,6.5,5992099993.500004,-2.437844033995619,59920.999934999985,170878.40005200007
1990-07-09,31545920000.0,-14913820006.499996,6.5,16632099993.500004,1.7756713024718973,166320.99993499988,64478.40005200019
1990-07-10,36142400000.0,-14913820006.499996,6.5,21228579993.500004,0.2763619748436068,212285.79993499984,18513.600052000227
1990-07-11,24615360000.0,-14913820006.499996,6.5,9701539993.500004,-0.5429962815944107,97015.39993499994,133784.00005200013
1990-07-12,18247040000.0,-14913820006.499996,6.5,3333219993.500004,-0.6564236197827098,33332.19993500001,197467.20005200006
1990-07-13,23097760000.0,-14913820006.499996,6.5,8183939993.500004,1.4552654818641493,81839.39993499996,148960.0000520001
1990-07-16,17970400000.0,-14913820006.499996,6.5,3056579993.500004,-0.6265148576446484,30565.799935000014,200233.60005200005
1990-07-17,13685280000.0,-14913820006.499996,6.5,-1228540006.4999962,-1.4019328822123283,-12285.40006499995,243084.80005200004
1990-07-18,28836640000.0,-14913820006.499996,6.5,13922819993.500004,-12.332817751018878,139228.19993499992,91571.20005200015
1990-07-19,58598400000.0,-14913820006.499996,6.5,43684579993.5,2.1376244190397165,436845.7999349996,0.0
1990-07-20,19184480000.0,-14913820006.499996,6.5,4270659993.500004,-0.9022387305970333,42706.59993499999,394139.1999999996
1990-07-23,27018880000.0,-14913820006.499996,6.5,12105059993.500004,1.8344705530114904,121050.5999349999,315795.1999999997
1990-07-24,19391680000.0,-14913820006.499996,6.5,4477859993.500004,-0.6300836182633991,44778.599934999984,392067.1999999996
1990-07-25,10492160000.0,-14913820006.499996,6.5,-4421660006.499996,-1.9874493648569658,-44216.600064999904,481062.3999999995
1990-07-26,8033760000.0,-14913820006.499996,6.5,-6880060006.499996,0.5559902833745844,-68800.60006499988,505646.3999999995
1990-07-27,6231680000.0,-14913820006.499996,6.5,-8682140006.499996,0.2619279480553178,-86821.40006499986,523667.1999999995
1990-07-30,8545600000.0,-14913820006.499996,6.5,-6368220006.499996,-0.266514937361947,-63682.20006499989,500527.9999999995
1990-07-31,9600640000.0,-14913820006.499996,6.5,-5313180006.499996,-0.16567266817464354,-53131.8000649999,489977.5999999995
1990-08-01,9350880000.0,-14913820006.499996,6.5,-5562940006.499996,0.047007630024665126,-55629.40006499989,492475.1999999995
1990-08-02,22312640000.0,-14913820006.499996,6.5,7398819993.500004,-2.3300197350420606,73988.19993499995,362857.5999999996
1990-08-03,26896800000.0,-14913820006.499996,6.5,11982979993.500004,0.619579879497983,119829.7999349999,317015.9999999997
1990-08-06,17965920000.0,-14913820006.499996,6.5,3052099993.500004,-0.745297080095638,30520.999935000003,406324.7999999996
1990-08-07,19853120000.0,-14913820006.499996,6.5,4939299993.500004,0.6183283653940344,49392.999934999985,387452.79999999964
1990-08-08,10253600000.0,-14913820006.499996,6.5,-4660220006.499996,-1.9434980690852408,-46602.20006499991,483447.99999999953
